I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm
100,0,3,7.044444444444443,8.041144125657821,7.0444,0.0
100,0,4,7.044444444444443,8.041144125657821,7.0444,0.0
100,0,5,7.044444444444443,8.041144125657821,7.0444,0.0
100,0,6,7.044444444444443,8.041144125657821,7.0444,0.0
100,0,7,7.044444444444443,8.041144125657821,7.0444,0.0
100,0,8,7.044444444444443,8.041144125657821,7.0444,0.0
100,0.01,3,7.305701870018941,8.041144125657821,7.0444,0.26125742557449705
100,0.01,4,7.427878987730713,8.041144125657821,7.0444,0.3834345432862683
100,0.01,5,7.488301429974937,8.041144125657821,7.0444,0.44385698553049296
100,0.01,6,7.531409240756016,8.041144125657821,7.0444,0.4869647963115709
100,0.01,7,7.576421341966137,8.041144125657821,7.0444,0.5319768975216921
100,0.01,8,7.612929592791219,8.041144125657821,7.0444,0.5684851483467747
100,0.02,3,7.566959295593438,8.041144125657821,7.0444,0.5225148511489941
100,0.02,4,7.811313531016982,8.041144125657821,7.0444,0.7668690865725366
100,0.02,5,7.93215841550543,8.041144125657821,7.0444,0.8877139710609859
100,0.02,6,8.018374037067586,8.041144125657821,7.0444,0.9739295926231418
100,0.02,7,8.10839823948783,8.041144125657821,7.0444,1.0639537950433842
100,0.02,8,8.181414741137994,8.041144125657821,7.0444,1.1369702966935493
100,0.03,3,7.828216721167935,8.041144125657821,7.0444,0.7837722767234916
100,0.03,4,8.194748074303249,8.041144125657821,7.0444,1.1503036298588047
100,0.03,5,8.376015401035923,8.041144125657821,7.0444,1.331570956591478
100,0.03,6,8.505338833379156,8.041144125657821,7.0444,1.4608943889347117
100,0.03,7,8.64037513700952,8.041144125657821,7.0444,1.5959306925650754
100,0.03,8,8.749899889484766,8.041144125657821,7.0444,1.7054554450403223
100,0.04,3,8.089474146742432,8.041144125657821,7.0444,1.0450297022979882
100,0.04,4,8.578182617589517,8.041144125657821,7.0444,1.5337381731450732
100,0.04,5,8.819872386566416,8.041144125657821,7.0444,1.7754279421219719
100,0.04,6,8.992303629690728,8.041144125657821,7.0444,1.9478591852462837
100,0.04,7,9.172352034531214,8.041144125657821,7.0444,2.1279075900867683
100,0.04,8,9.318385037831543,8.041144125657821,7.0444,2.2739405933870986
100,0.05,3,8.35073157231693,8.041144125657821,7.0444,1.3062871278724861
100,0.05,4,8.961617160875784,8.041144125657821,7.0444,1.9171727164313406
100,0.05,5,9.263729372096908,8.041144125657821,7.0444,2.219284927652462
100,0.05,6,9.4792684260023,8.041144125657821,7.0444,2.4348239815578556
100,0.05,7,9.704328932052904,8.041144125657821,7.0444,2.6598844876084597
100,0.05,8,9.886870186178315,8.041144125657821,7.0444,2.8424257417338716
100,0.06,3,8.611988997891427,8.041144125657821,7.0444,1.5675445534469832
100,0.06,4,9.345051704162055,8.041144125657821,7.0444,2.3006072597176095
100,0.06,5,9.7075863576274,8.041144125657821,7.0444,2.663141913182956
100,0.06,6,9.966233222313868,8.041144125657821,7.0444,2.9217887778694234
100,0.06,7,10.236305829574595,8.041144125657821,7.0444,3.1918613851301507
100,0.06,8,10.45535533452509,8.041144125657821,7.0444,3.4109108900806446
100,0.07,3,8.873246423465925,8.041144125657821,7.0444,1.8288019790214805
100,0.07,4,9.728486247448323,8.041144125657821,7.0444,2.6840418030038795
100,0.07,5,10.151443343157895,8.041144125657821,7.0444,3.106998898713451
100,0.07,6,10.453198018625443,8.041144125657821,7.0444,3.4087535741809982
100,0.07,7,10.768282727096288,8.041144125657821,7.0444,3.7238382826518444
100,0.07,8,11.023840482871865,8.041144125657821,7.0444,3.979396038427422
100,0.08,3,9.13450384904042,8.041144125657821,7.0444,2.0900594045959764
100,0.08,4,10.11192079073459,8.041144125657821,7.0444,3.0674763462901464
100,0.08,5,10.595300328688388,8.041144125657821,7.0444,3.5508558842439437
100,0.08,6,10.940162814937013,8.041144125657821,7.0444,3.8957183704925673
100,0.08,7,11.300259624617981,8.041144125657821,7.0444,4.255815180173537
100,0.08,8,11.592325631218642,8.041144125657821,7.0444,4.547881186774197
100,0.09,3,9.39576127461492,8.041144125657821,7.0444,2.3513168301704748
100,0.09,4,10.495355334020863,8.041144125657821,7.0444,3.4509108895764173
100,0.09,5,11.039157314218881,8.041144125657821,7.0444,3.994712869774437
100,0.09,6,11.427127611248585,8.041144125657821,7.0444,4.382683166804139
100,0.09,7,11.832236522139672,8.041144125657821,7.0444,4.787792077695228
100,0.09,8,12.160810779565415,8.041144125657821,7.0444,5.11636633512097
100,0.1,3,9.657018700189417,8.041144125657821,7.0444,2.6125742557449723
100,0.1,4,10.878789877307126,8.041144125657821,7.0444,3.834345432862681
100,0.1,5,11.483014299749367,8.041144125657821,7.0444,4.438569855304924
100,0.1,6,11.914092407560155,8.041144125657821,7.0444,4.869647963115711
100,0.1,7,12.364213419661365,8.041144125657821,7.0444,5.3197689752169195
100,0.1,8,12.729295927912188,8.041144125657821,7.0444,5.684851483467743
