I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm
150,0,3,9.090909090909092,6.222322232357161,9.0909,0.0
150,0,4,9.090909090909092,6.222322232357161,9.0909,0.0
150,0,5,9.090909090909092,6.222322232357161,9.0909,0.0
150,0,6,9.090909090909092,6.222322232357161,9.0909,0.0
150,0,7,9.090909090909092,6.222322232357161,9.0909,0.0
150,0,8,9.090909090909092,6.222322232357161,9.0909,0.0
150,0.01,3,9.319162916264697,6.222322232357161,9.0909,0.22825382535560593
150,0.01,4,9.39085928590166,6.222322232357161,9.0909,0.29995019499256936
150,0.01,5,9.457246924665537,6.222322232357161,9.0909,0.3663378337564462
150,0.01,6,9.512837683741445,6.222322232357161,9.0909,0.4219285928323538
150,0.01,7,9.54803420339341,6.222322232357161,9.0909,0.4571251124843188
150,0.01,8,9.603413741347206,6.222322232357161,9.0909,0.5125046504381144
150,0.02,3,9.547416741620303,6.222322232357161,9.0909,0.45650765071121185
150,0.02,4,9.690809480894229,6.222322232357161,9.0909,0.5999003899851387
150,0.02,5,9.823584758421983,6.222322232357161,9.0909,0.7326756675128924
150,0.02,6,9.934766276573798,6.222322232357161,9.0909,0.8438571856647076
150,0.02,7,10.005159315877728,6.222322232357161,9.0909,0.9142502249686376
150,0.02,8,10.11591839178532,6.222322232357161,9.0909,1.0250093008762289
150,0.03,3,9.77567056697591,6.222322232357161,9.0909,0.6847614760668181
150,0.03,4,9.9907596758868,6.222322232357161,9.0909,0.8998505849777083
150,0.03,5,10.18992259217843,6.222322232357161,9.0909,1.099013501269338
150,0.03,6,10.356694869406152,6.222322232357161,9.0909,1.2657857784970605
150,0.03,7,10.462284428362047,6.222322232357161,9.0909,1.3713753374529551
150,0.03,8,10.628423042223435,6.222322232357161,9.0909,1.5375139513143432
150,0.04,3,10.003924392331514,6.222322232357161,9.0909,0.9130153014224237
150,0.04,4,10.29070987087937,6.222322232357161,9.0909,1.1998007799702775
150,0.04,5,10.556260425934877,6.222322232357161,9.0909,1.4653513350257847
150,0.04,6,10.778623462238507,6.222322232357161,9.0909,1.6877143713294152
150,0.04,7,10.919409540846365,6.222322232357161,9.0909,1.8285004499372752
150,0.04,8,11.140927692661549,6.222322232357161,9.0909,2.0500186017524578
150,0.05,3,10.232178217687121,6.222322232357161,9.0909,1.14126912677803
150,0.05,4,10.59066006587194,6.222322232357161,9.0909,1.499750974962849
150,0.05,5,10.922598259691322,6.222322232357161,9.0909,1.831689168782231
150,0.05,6,11.200552055070858,6.222322232357161,9.0909,2.1096429641617673
150,0.05,7,11.376534653330683,6.222322232357161,9.0909,2.2856255624215924
150,0.05,8,11.65343234309966,6.222322232357161,9.0909,2.56252325219057
150,0.06,3,10.460432043042728,6.222322232357161,9.0909,1.3695229521336363
150,0.06,4,10.89061026086451,6.222322232357161,9.0909,1.7997011699554166
150,0.06,5,11.288936093447766,6.222322232357161,9.0909,2.198027002538676
150,0.06,6,11.622480647903211,6.222322232357161,9.0909,2.531571556994121
150,0.06,7,11.833659765815002,6.222322232357161,9.0909,2.7427506749059103
150,0.06,8,12.165936993537779,6.222322232357161,9.0909,3.0750279026286864
150,0.07,3,10.688685868398334,6.222322232357161,9.0909,1.597776777489242
150,0.07,4,11.190560455857083,6.222322232357161,9.0909,2.0996513649479915
150,0.07,5,11.655273927204215,6.222322232357161,9.0909,2.5643648362951232
150,0.07,6,12.044409240735565,6.222322232357161,9.0909,2.953500149826474
150,0.07,7,12.290784878299323,6.222322232357161,9.0909,3.199875787390232
150,0.07,8,12.67844164397589,6.222322232357161,9.0909,3.5875325530667994
150,0.08,3,10.916939693753937,6.222322232357161,9.0909,1.8260306028448474
150,0.08,4,11.490510650849645,6.222322232357161,9.0909,2.399601559940555
150,0.08,5,12.021611760960662,6.222322232357161,9.0909,2.9307026700515695
150,0.08,6,12.46633783356792,6.222322232357161,9.0909,3.3754287426588303
150,0.08,7,12.747909990783642,6.222322232357161,9.0909,3.6570008998745505
150,0.08,8,13.190946294414005,6.222322232357161,9.0909,4.1000372035049155
150,0.09,3,11.145193519109544,6.222322232357161,9.0909,2.0542844282004546
150,0.09,4,11.79046084584222,6.222322232357161,9.0909,2.69955175493313
150,0.09,5,12.387949594717107,6.222322232357161,9.0909,3.297040503808015
150,0.09,6,12.88826642640027,6.222322232357161,9.0909,3.7973573354911796
150,0.09,7,13.205035103267958,6.222322232357161,9.0909,4.114126012358867
150,0.09,8,13.703450944852117,6.222322232357161,9.0909,4.612541853943026
150,0.1,3,11.37344734446515,6.222322232357161,9.0909,2.28253825355606
150,0.1,4,12.09041104083479,6.222322232357161,9.0909,2.999501949925698
150,0.1,5,12.754287428473551,6.222322232357161,9.0909,3.663378337564462
150,0.1,6,13.310195019232626,6.222322232357161,9.0909,4.219285928323535
150,0.1,7,13.662160215752277,6.222322232357161,9.0909,4.571251124843185
150,0.1,8,14.21595559529023,6.222322232357161,9.0909,5.12504650438114
