I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm,undercover_norm_n,cons_norm_n,understaffing_norm_n,perf_norm_n
100,0,1,9.03,7.93,9.03,0.0,8.960000000000012,7.6029702970297,8.960000000000012,0.0
100,0,3,8.96,7.46,8.96,0.0,8.960000000000024,7.6029702970297,8.960000000000024,0.0
100,0,5,8.96,6.83,8.96,0.0,8.960000000000027,7.602970297029696,8.960000000000027,0.0
