I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrange
100,Medium,0.03,3,902.3,902.14446,127,902.3,9.023,404.93069,4.04931,3.57723,0.03577,0.15476,-0.29221,-0.093,902.3
100,Medium,0.03,4,907.61,907.34953,200,907.61,9.0761,395.51485,3.95515,22.20406,0.22204,0.38961,-0.18944,-0.04536,907.61
100,Medium,0.03,5,911.45,911.1134,153,911.45,9.1145,367.45545,3.67455,14.19257,0.14193,0.6581,-0.18944,0.00967,911.45
100,Medium,0.03,6,915.62,915.09112,171,915.62,9.1562,360.52475,3.60525,23.09525,0.23095,0.28476,-0.24675,-0.0101,915.62
100,Medium,0.03,7,921.02,919.85603,160,921.02,9.2102,373.46535,3.73465,21.25762,0.21258,0.45604,-0.23292,-0.01827,921.02
100,Medium,0.03,8,930.34,929.274,156,930.34,9.3034,363.41584,3.63416,24.3499,0.2435,0.29752,-0.24675,-0.02038,930.34
100,Medium,0.04,3,904.36,904.10978,125,904.36,9.0436,430.9802,4.3098,4.13228,0.04132,0.1131,-0.35714,-0.13046,904.36
100,Medium,0.04,4,911.96001,911.03544,153,911.96001,9.1196,386.02971,3.8603,41.60357,0.41604,0.6581,-0.18944,-0.04091,911.96
100,Medium,0.04,5,916.88,916.14564,142,916.88,9.1688,363.9901,3.6399,16.74139,0.16741,0.38961,-0.18944,-0.00411,916.88
100,Medium,0.04,6,922.68,921.32456,162,922.68,9.2268,357.58416,3.57584,18.20475,0.18205,0.6581,-0.18944,0.03665,922.68
100,Medium,0.04,7,929.04,927.60032,155,929.04,9.2904,367.51485,3.67515,23.94099,0.23941,0.45604,-0.23292,-0.01972,929.04
100,Medium,0.04,8,941.88,939.92814,135,941.88,9.4188,355.20792,3.55208,31.00871,0.31009,0.6581,-0.24675,0.00918,941.88
