I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrange
100,Medium,0.09,3,914.03,913.51092,96,914.03,9.1403,416.0,4.16,11.0597,0.1106,0.24476,-0.29221,-0.12173,914.03
100,Medium,0.09,4,929.36,928.12895,105,929.36,9.2936,376.92079,3.76921,20.57782,0.20578,0.45604,-0.18944,-0.05107,929.36
100,Medium,0.09,5,939.26,938.0188,131,939.26,9.3926,330.59406,3.30594,24.2996,0.243,0.28476,-0.17857,-0.05611,939.26
100,Medium,0.09,6,949.26,948.19469,129,949.26,9.4926,321.50495,3.21505,35.43822,0.35438,0.28476,-0.17857,-0.03582,949.26
100,Medium,0.09,7,959.23,957.84776,134,959.23,9.5923,315.65347,3.15653,32.50723,0.32507,0.45604,-0.18944,-0.0211,959.23
100,Medium,0.09,8,981.38,979.83825,98,981.38,9.8138,302.07921,3.02079,48.05327,0.48053,0.45604,-0.17857,-0.03197,981.38
100,Medium,0.1,3,915.7,915.23275,92,915.7,9.157,411.89109,4.11891,10.79901,0.10799,0.1131,-0.29221,-0.13608,915.7
100,Medium,0.1,4,932.0,931.11259,112,932.0,9.32,365.68317,3.65683,20.12871,0.20129,0.25404,-0.18944,-0.05787,932.0
100,Medium,0.1,5,942.3,941.29611,104,942.3,9.423,323.11881,3.23119,22.2802,0.2228,0.45604,-0.18944,-0.05956,942.3
100,Medium,0.1,6,952.4,951.51717,137,952.4,9.524,292.0396,2.9204,23.21188,0.23212,0.6581,-0.18944,-0.05576,952.4
100,Medium,0.1,7,963.1,961.96922,100,963.1,9.631,301.79208,3.01792,31.84257,0.31843,0.45604,-0.18944,-0.02584,963.1
100,Medium,0.1,8,987.7,986.61154,92,987.7,9.877,288.9901,2.8899,49.7396,0.4974,0.45604,-0.17857,-0.05758,987.7
