I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrange
100,Medium,0.07,3,910.09,909.84938,110,910.09,9.1009,420.44554,4.20446,9.45634,0.09456,0.29752,-0.30952,-0.11022,910.09
100,Medium,0.07,4,922.31,921.77922,133,922.31,9.2231,388.78218,3.88782,18.04267,0.18043,0.45604,-0.18944,-7e-05,922.31
100,Medium,0.07,5,931.5,930.34742,111,931.5,9.315,347.79208,3.47792,29.5396,0.2954,0.29752,-0.18944,-0.01535,931.5
100,Medium,0.07,6,940.3,938.43722,111,940.3,9.403,340.46535,3.40465,39.46832,0.39468,0.6581,-0.23292,0.00419,940.3
100,Medium,0.07,7,948.33,947.45258,112,948.33,9.4833,327.41584,3.27416,35.51812,0.35518,0.45604,-0.18944,-0.03797,948.33
100,Medium,0.07,8,966.57,964.49157,117,966.57,9.6657,319.35644,3.19356,43.02545,0.43025,0.28476,-0.18944,-0.03361,966.57
100,Medium,0.08,3,912.0,911.69704,122,912.0,9.12,420.66337,4.20663,8.9604,0.0896,0.15476,-0.29221,-0.12801,912.0
100,Medium,0.08,4,926.08,924.97305,125,926.08,9.2608,372.05941,3.72059,18.25822,0.18258,0.25404,-0.18944,-0.06891,926.08
100,Medium,0.08,5,935.56,934.33802,122,935.56,9.3556,339.87129,3.39871,23.49069,0.23491,0.45604,-0.18944,-0.01517,935.56
100,Medium,0.08,6,944.72,943.50578,129,944.72,9.4472,335.68317,3.35683,28.12594,0.28126,0.45604,-0.18944,0.01357,944.72
100,Medium,0.08,7,954.04,952.72302,119,954.04,9.5404,324.9703,3.2497,33.88158,0.33882,0.29752,-0.18944,-0.07144,954.04
100,Medium,0.08,8,974.24,972.39497,102,974.24,9.7424,318.53465,3.18535,47.32911,0.47329,0.45604,-0.18944,-0.00929,974.24
