I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm,undercover_norm_n,cons_norm_n,understaffing_norm_n,perf_norm_n
100,0,3,7.04444,8.78889,7.04444,0,7.04444,8.06942,7.04444,0.0
100,0,4,7.04444,8.84444,7.04444,0,7.04444,8.06942,7.04444,0.0
100,0,5,7.08889,8.73333,7.08889,0,7.04444,8.06942,7.04444,0.0
100,0,6,7.08889,8.34444,7.08889,0,7.04444,8.06942,7.04444,0.0
100,0,7,6.77778,8.03333,6.77778,0,7.04444,8.06942,7.04444,0.0
100,0.02,3,7.10578,4.56667,7.06667,0.03911,7.62402,7.99923,7.04444,0.57957
100,0.02,4,7.17711,4.47778,7.08889,0.08822,7.93696,7.99923,7.04444,0.89251
100,0.02,5,7.21844,4.16667,7.11111,0.10733,8.0344,7.99923,7.04444,0.98995
100,0.02,6,7.26889,4.15556,7.13333,0.13556,8.12796,7.99923,7.04444,1.08351
100,0.02,7,7.26867,4.24444,7.07778,0.19089,8.22472,7.99923,7.04444,1.18028
100,0.04,3,7.20933,4.55556,7.13333,0.076,7.97078,7.74521,7.04444,0.92634
100,0.04,4,7.24133,4.48889,7.07778,0.16356,8.46492,7.74521,7.04444,1.42048
100,0.04,5,7.32711,4.08889,7.1,0.22711,8.76167,7.74521,7.04444,1.71723
100,0.04,6,7.43333,4.13333,7.16667,0.26667,8.95122,7.74521,7.04444,1.90677
100,0.04,7,7.50978,4.18889,7.21111,0.29867,9.01131,7.74521,7.04444,1.96687
100,0.06,3,7.24,4.53333,7.13333,0.10667,8.34354,7.50913,7.04444,1.2991
100,0.06,4,7.37444,4.41111,7.13333,0.24111,8.94181,7.50913,7.04444,1.89737
100,0.06,5,7.44933,4.04444,7.14444,0.30489,9.40485,7.50913,7.04444,2.36041
100,0.06,6,7.57978,4.04444,7.22222,0.35756,9.79173,7.50913,7.04444,2.74729
100,0.06,7,7.66667,3.77778,7.27778,0.38889,10.16237,7.50913,7.04444,3.11792
100,0.08,3,7.29778,4.42222,7.18889,0.10889,9.40567,8.14356,7.04444,2.36122
100,0.08,4,7.45556,4.43333,7.16667,0.28889,10.51554,8.14356,7.04444,3.47109
100,0.08,5,7.56,3.87778,7.21111,0.34889,11.18149,8.14356,7.04444,4.13705
100,0.08,6,7.688,3.85556,7.31111,0.37689,11.54505,8.14356,7.04444,4.5006
100,0.08,7,7.77202,3.71111,7.34444,0.42758,11.78421,8.14356,7.04444,4.73977
100,0.1,3,7.31444,4.45556,7.18889,0.12556,8.93006,7.27525,7.04444,1.88561
100,0.1,4,7.50778,4.34444,7.17778,0.33,10.30395,7.27525,7.04444,3.2595
100,0.1,5,7.64111,3.71111,7.28889,0.35222,10.88279,7.27525,7.04444,3.83835
100,0.1,6,7.79,3.43333,7.41111,0.37889,11.27546,7.27525,7.04444,4.23101
100,0.1,7,7.87111,3.37778,7.45556,0.41556,11.49705,7.27525,7.04444,4.45261
