I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrangeundercover,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n,lagrange
150,Medium,0,3,1501.0,1500.0,48,1497.0,9.07273,1180.0,7.15152,0,0,0.11905,-0.53968,,,,,,,,,,,,1501.0
150,Medium,0,4,1510.0,1500.0,44,1504.0,9.11515,1230.0,7.45455,0,0,0.14643,-0.40226,-0.14421,,,,,,,,,,,1510.0
150,Medium,0,5,1500.0,1500.0,37,1500.0,9.09091,1016.0,6.15758,0,0,0.15476,-0.42857,-0.11062,,,,,,,,,,,1500.0
150,Medium,0,6,1500.0,1500.0,37,1495.0,9.06061,899.0,5.44848,0,0,0.21429,-0.35714,-0.12998,,,,,,,,,,,1500.0
150,Medium,0,7,1501.0,1500.0,53,1495.0,9.06061,1060.0,6.42424,0,0,0.16667,-0.45489,-0.12871,,,,,,,,,,,1501.0
150,Medium,0.02,3,1510.92,1505.82761,93,1510.92,9.15709,620.0,3.75758,4.92,0.02982,0.17749,-0.24675,-0.11582,,,,,,,,,,,1510.92
150,Medium,0.02,4,1515.52,1509.22169,149,1515.52,9.18497,605.0,3.66667,8.52,0.05164,0.15476,-0.23292,-0.09207,,,,,,,,,,,1515.52
150,Medium,0.02,5,1520.74,1516.71241,140,1520.74,9.21661,611.0,3.70303,14.74,0.08933,0.25404,-0.23292,-0.06658,,,,,,,,,,,1520.74
150,Medium,0.02,6,1528.42,1524.28301,121,1528.42,9.26315,566.0,3.4303,20.42,0.12376,0.34416,-0.23292,-0.04949,,,,,,,,,,,1528.42
150,Medium,0.02,7,1532.7,1529.455,133,1532.7,9.28909,539.0,3.26667,25.7,0.15576,0.29752,-0.23292,-0.01077,,,,,,,,,,,1532.7
150,Medium,0.04,3,1515.48,1511.59903,84,1515.48,9.18473,629.0,3.81212,10.48,0.06352,0.15476,-0.23292,-0.09641,,,,,,,,,,,1515.48
150,Medium,0.04,4,1523.76,1518.46964,106,1523.76,9.23491,597.0,3.61818,13.76,0.08339,0.15476,-0.23292,-0.09183,,,,,,,,,,,1523.76
150,Medium,0.04,5,1539.44,1531.12321,114,1539.44,9.32994,530.0,3.21212,14.44,0.08752,0.24476,-0.23292,-0.12309,,,,,,,,,,,1539.44
150,Medium,0.04,6,1545.48,1542.99674,89,1545.48,9.36655,469.0,2.84242,30.48,0.18473,0.24476,-0.18944,-0.11899,,,,,,,,,,,1545.48
150,Medium,0.04,7,1562.68,1552.76357,98,1562.68,9.47079,454.0,2.75152,31.68,0.192,0.24476,-0.17857,-0.05029,,,,,,,,,,,1562.68
150,Medium,0.06,3,1523.48,1517.10306,94,1523.48,9.23321,629.0,3.81212,11.48,0.06958,0.24476,-0.23292,-0.13187,,,,,,,,,,,1523.48
150,Medium,0.06,4,1525.22,1524.0787,88,1525.22,9.24376,518.0,3.13939,11.22,0.068,0.1131,-0.18944,-0.09361,,,,,,,,,,,1525.22
150,Medium,0.06,5,1541.8,1538.3961,99,1541.8,9.34424,473.0,2.86667,13.8,0.08364,0.28476,-0.18944,-0.12347,,,,,,,,,,,1541.8
150,Medium,0.06,6,1557.26,1553.04659,89,1557.26,9.43794,441.0,2.67273,22.26,0.13491,0.1131,-0.17857,-0.10467,,,,,,,,,,,1557.26
150,Medium,0.06,7,1569.66,1567.58329,90,1569.66,9.51309,406.0,2.46061,32.66,0.19794,0.24476,-0.17857,-0.04738,,,,,,,,,,,1569.66
150,Medium,0.08,3,1526.48,1520.38094,78,1526.48,9.25139,564.0,3.41818,8.48,0.05139,0.15476,-0.23292,-0.13802,,,,,,,,,,,1526.48
150,Medium,0.08,4,1529.52,1527.13376,85,1529.52,9.26982,515.0,3.12121,10.52,0.06376,0.15476,-0.23292,-0.10354,,,,,,,,,,,1529.52
150,Medium,0.08,5,1550.16,1543.02578,100,1550.16,9.39491,476.0,2.88485,16.16,0.09794,0.28476,-0.18944,-0.10752,,,,,,,,,,,1550.16
150,Medium,0.08,6,1563.36,1559.70255,74,1563.36,9.47491,413.0,2.50303,21.36,0.12945,0.1131,-0.17857,-0.09567,,,,,,,,,,,1563.36
150,Medium,0.08,7,1584.04,1577.69724,86,1584.04,9.60024,385.0,2.33333,33.04,0.20024,0.24476,-0.17857,-0.04069,,,,,,,,,,,1584.04
150,Medium,0.1,3,1527.1,1523.02099,86,1527.1,9.25515,570.0,3.45455,10.1,0.06121,0.15476,-0.23292,-0.11669,,,,,,,,,,,1527.1
150,Medium,0.1,4,1530.1,1529.87309,78,1530.1,9.27333,511.0,3.09697,10.1,0.06121,0.1131,-0.24675,-0.11806,,,,,,,,,,,1530.1
150,Medium,0.1,5,1549.7,1547.09479,102,1549.7,9.39212,463.0,2.80606,15.7,0.09515,0.28476,-0.18944,-0.10658,,,,,,,,,,,1549.7
150,Medium,0.1,6,1565.5,1563.89552,82,1565.5,9.48788,382.0,2.31515,17.5,0.10606,0.1131,-0.1369,-0.08536,,,,,,,,,,,1565.5
150,Medium,0.1,7,1587.2,1585.53633,77,1587.2,9.61939,372.0,2.25455,30.2,0.18303,0.24476,-0.1369,-0.03969,,,,,,,,,,,1587.2
