I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrangeundercover,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n,lagrange
150,Medium,0,3,742.0,737.0,56,712.0,5.27407,1106.0,8.19259,0,0,0.29752,-0.50752,-0.18874,,,,,,,,,,,742.0
150,Medium,0,4,744.0,737.0,57,741.0,5.48889,1169.0,8.65926,0,0,0.11905,-0.43968,-0.18522,,,,,,,,,,,744.0
150,Medium,0,5,743.0,737.0,59,735.0,5.44444,1079.0,7.99259,0,0,0.09643,-0.50752,-0.24927,,,,,,,,,,,743.0
150,Medium,0,6,737.0,736.99999,57,692.0,5.12593,1102.00001,8.16296,0,0,0.13203,-0.40226,-0.18106,,,,,,,,,,,737.0
150,Medium,0,7,740.00003,736.99999,53,654.0,4.84444,1078.99998,7.99259,0,0,0.09643,-0.39381,-0.12451,,,,,,,,,,,740.0
150,Medium,0.02,3,753.36,746.70771,193,753.36,5.58044,660.0,4.88889,9.36,0.06933,0.13203,-0.29221,-0.13257,,,,,,,,,,,753.36
150,Medium,0.02,4,752.5,750.69273,200,752.5,5.57407,604.0,4.47407,12.5,0.09259,0.34416,-0.23292,-0.08104,,,,,,,,,,,752.5
150,Medium,0.02,5,760.34,756.56309,200,760.34,5.63215,579.0,4.28889,14.34,0.10622,0.49752,-0.29221,-0.06043,,,,,,,,,,,760.34
150,Medium,0.02,6,768.88,762.989,173,768.88,5.69541,573.0,4.24444,18.88,0.13985,0.25404,-0.29221,-0.0695,,,,,,,,,,,768.88
150,Medium,0.02,7,775.48,769.03328,174,775.48,5.7443,562.0,4.16296,22.48,0.16652,0.29752,-0.29221,-0.02101,,,,,,,,,,,775.48
150,Medium,0.04,3,762.2,756.16245,200,762.2,5.64593,668.0,4.94815,15.2,0.11259,0.17749,-0.29221,-0.12469,,,,,,,,,,,762.2
150,Medium,0.04,4,770.16,763.52391,169,770.16,5.70489,605.0,4.48148,17.16,0.12711,0.34416,-0.23292,-0.08908,,,,,,,,,,,770.16
150,Medium,0.04,5,780.76,774.57856,193,780.76,5.78341,560.0,4.14815,21.76,0.16119,0.40476,-0.23292,-0.08361,,,,,,,,,,,780.76
150,Medium,0.04,6,792.52,786.96891,143,792.52,5.87052,535.0,3.96296,25.52,0.18904,0.40476,-0.23292,-0.05381,,,,,,,,,,,792.52
150,Medium,0.04,7,803.84,798.49412,159,803.84,5.95437,505.0,3.74074,28.84,0.21363,0.34416,-0.24675,-0.0184,,,,,,,,,,,803.84
150,Medium,0.06,3,772.64,765.00435,148,772.64,5.72326,662.0,4.9037,25.64,0.18993,0.21429,-0.24675,-0.12574,,,,,,,,,,,772.64
150,Medium,0.06,4,778.98,772.90725,161,778.98,5.77022,546.0,4.04444,18.98,0.14059,0.25404,-0.23292,-0.09387,,,,,,,,,,,778.98
150,Medium,0.06,5,792.46,787.37911,150,792.46,5.87007,504.0,3.73333,19.46,0.14415,0.25404,-0.23292,-0.10748,,,,,,,,,,,792.46
150,Medium,0.06,6,809.12,803.10377,145,809.12,5.99348,479.0,3.54815,31.12,0.23052,0.40476,-0.23292,-0.08544,,,,,,,,,,,809.12
150,Medium,0.06,7,825.5,819.02923,118,825.5,6.11481,456.0,3.37778,34.5,0.25556,0.34416,-0.23292,-0.03542,,,,,,,,,,,825.5
150,Medium,0.08,3,774.44,771.20976,117,774.44,5.73659,622.0,4.60741,14.44,0.10696,0.07143,-0.29221,-0.13935,,,,,,,,,,,774.44
150,Medium,0.08,4,786.52,778.5299,124,786.52,5.82607,531.0,3.93333,14.52,0.10756,0.15476,-0.23292,-0.10976,,,,,,,,,,,786.52
150,Medium,0.08,5,797.6,796.37214,142,797.6,5.90815,505.0,3.74074,20.6,0.15259,0.15476,-0.23292,-0.10904,,,,,,,,,,,797.6
150,Medium,0.08,6,818.36,813.13501,138,818.36,6.06193,449.0,3.32593,27.36,0.20267,0.28476,-0.18944,-0.10145,,,,,,,,,,,818.36
150,Medium,0.08,7,838.76,832.73096,133,838.76,6.21304,393.0,2.91111,29.76,0.22044,0.40476,-0.18944,-0.04201,,,,,,,,,,,838.76
150,Medium,0.1,3,778.7,775.08576,124,778.7,5.76815,548.0,4.05926,13.7,0.10148,0.17749,-0.23292,-0.12564,,,,,,,,,,,778.7
150,Medium,0.1,4,787.3,783.06453,112,787.3,5.83185,543.0,4.02222,14.3,0.10593,0.1131,-0.23292,-0.12164,,,,,,,,,,,787.3
150,Medium,0.1,5,808.3,804.5631,123,808.3,5.98741,501.0,3.71111,28.3,0.20963,0.24476,-0.23292,-0.10525,,,,,,,,,,,808.3
150,Medium,0.1,6,827.1,820.12077,134,827.1,6.12667,411.0,3.04444,22.1,0.1637,0.28476,-0.17857,-0.0821,,,,,,,,,,,827.1
150,Medium,0.1,7,849.7,841.04833,119,849.7,6.29407,367.0,2.71852,55.7,0.41259,0.45604,-0.12857,-0.04319,,,,,,,,,,,849.7
