I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm,undercover_norm_n,cons_norm_n,understaffing_norm_n,perf_norm_n
150,0,3,9.07273,7.15152,9.07273,0,9.09091,6.10459,9.09091,0.0
150,0,4,9.11515,7.45455,9.11515,0,9.09091,6.10459,9.09091,0.0
150,0,5,9.09091,6.15758,9.09091,0,9.09091,6.10459,9.09091,0.0
150,0,6,9.06061,5.44848,9.06061,0,9.09091,6.10459,9.09091,0.0
150,0,7,9.06061,6.42424,9.06061,0,9.09091,6.10459,9.09091,0.0
150,0.02,3,9.15709,3.75758,9.12727,0.02982,9.62426,6.64932,9.09091,0.53335
150,0.02,4,9.18497,3.66667,9.13333,0.05164,9.85118,6.64932,9.09091,0.76027
150,0.02,5,9.21661,3.70303,9.12727,0.08933,10.02987,6.64932,9.09091,0.93896
150,0.02,6,9.26315,3.4303,9.13939,0.12376,10.16628,6.64932,9.09091,1.07537
150,0.02,7,9.28909,3.26667,9.13333,0.15576,10.25408,6.64932,9.09091,1.16318
150,0.04,3,9.18473,3.81212,9.12121,0.06352,9.94046,6.05455,9.09091,0.84956
150,0.04,4,9.23491,3.61818,9.15152,0.08339,10.258,6.05455,9.09091,1.1671
150,0.04,5,9.32994,3.21212,9.24242,0.08752,10.7524,6.05455,9.09091,1.66149
150,0.04,6,9.36655,2.84242,9.18182,0.18473,10.90505,6.05455,9.09091,1.81414
150,0.04,7,9.47079,2.75152,9.27879,0.192,11.01639,6.05455,9.09091,1.92548
150,0.06,3,9.23321,3.81212,9.16364,0.06958,10.43557,6.00912,9.09091,1.34466
150,0.06,4,9.24376,3.13939,9.17576,0.068,11.09464,6.00912,9.09091,2.00373
150,0.06,5,9.34424,2.86667,9.26061,0.08364,11.54454,6.00912,9.09091,2.45363
150,0.06,6,9.43794,2.67273,9.30303,0.13491,11.95395,6.00912,9.09091,2.86304
150,0.06,7,9.51309,2.46061,9.31515,0.19794,12.16809,6.00912,9.09091,3.07718
150,0.08,3,9.25139,3.41818,9.2,0.05139,10.8311,5.74713,9.09091,1.74019
150,0.08,4,9.26982,3.12121,9.20606,0.06376,11.47184,5.74713,9.09091,2.38093
150,0.08,5,9.39491,2.88485,9.29697,0.09794,11.86168,5.74713,9.09091,2.77077
150,0.08,6,9.47491,2.50303,9.34545,0.12945,12.32441,5.74713,9.09091,3.2335
150,0.08,7,9.60024,2.33333,9.4,0.20024,12.68285,5.74713,9.09091,3.59194
150,0.1,3,9.25515,3.45455,9.19394,0.06121,10.71777,5.5685,9.09091,1.62686
150,0.1,4,9.27333,3.09697,9.21212,0.06121,11.51396,5.5685,9.09091,2.42305
150,0.1,5,9.39212,2.80606,9.29697,0.09515,12.35719,5.5685,9.09091,3.26628
150,0.1,6,9.48788,2.31515,9.38182,0.10606,12.8439,5.5685,9.09091,3.75299
150,0.1,7,9.61939,2.25455,9.43636,0.18303,13.32475,5.5685,9.09091,4.23384
