I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrangeundercover,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n,lagrange
150,Medium,0,3,1119.0,1119.0,38,1111.0,7.40667,1111.0,7.40667,0,0,0.17749,-0.48413,-0.17045,,,,,,,,,,,1119.0
150,Medium,0,4,1118.99999,1118.99999,42,1076.0,7.17333,1024.0,6.82667,0,0,0.2619,-0.40226,-0.19347,,,,,,,,,,,1119.0
150,Medium,0,5,1124.0,1119.0,54,1117.0,7.44667,1117.0,7.44667,0,0,0.29752,-0.37857,-0.18215,,,,,,,,,,,1124.0
150,Medium,0,6,1119.99999,1118.99999,73,1077.0,7.18,1101.0,7.34,0,0,0.1381,-0.45489,-0.08177,,,,,,,,,,,1120.0
150,Medium,0,7,1124.99999,1118.99999,45,1084.0,7.22667,1121.99999,7.48,0,0,0.17749,-0.40226,-0.12096,,,,,,,,,,,1125.0
150,Medium,0.02,3,1131.62,1125.64247,125,1131.62,7.54413,639.0,4.26,4.62,0.0308,0.13203,-0.29221,-0.13109,,,,,,,,,,,1131.62
150,Medium,0.02,4,1139.78,1129.46862,166,1139.78,7.59853,595.0,3.96667,7.78,0.05187,0.25404,-0.29221,-0.09947,,,,,,,,,,,1139.78
150,Medium,0.02,5,1146.32,1136.32309,157,1146.32,7.64213,588.0,3.92,10.32,0.0688,0.34416,-0.23292,-0.0853,,,,,,,,,,,1146.32
150,Medium,0.02,6,1152.5,1143.07346,139,1152.5,7.68333,562.0,3.74667,17.5,0.11667,0.34416,-0.23292,-0.06751,,,,,,,,,,,1152.5
150,Medium,0.02,7,1153.52,1148.34254,148,1153.52,7.69013,541.0,3.60667,21.52,0.14347,0.29752,-0.18944,-0.00438,,,,,,,,,,,1153.52
150,Medium,0.04,3,1139.8,1132.08575,156,1139.8,7.59867,631.0,4.20667,9.8,0.06533,0.1131,-0.29221,-0.09972,,,,,,,,,,,1139.8
150,Medium,0.04,4,1145.28,1139.4251,106,1145.28,7.6352,564.0,3.76,10.28,0.06853,0.40476,-0.23292,-0.07281,,,,,,,,,,,1145.28
150,Medium,0.04,5,1156.88,1151.26022,159,1156.88,7.71253,538.0,3.58667,15.88,0.10587,0.1131,-0.23292,-0.11052,,,,,,,,,,,1156.88
150,Medium,0.04,6,1169.72,1163.62661,116,1169.72,7.79813,504.0,3.36,23.72,0.15813,0.15476,-0.23292,-0.11095,,,,,,,,,,,1169.72
150,Medium,0.04,7,1178.64,1174.28025,107,1178.64,7.8576,485.0,3.23333,39.64,0.26427,0.24476,-0.23292,-0.04292,,,,,,,,,,,1178.64
150,Medium,0.06,3,1142.28,1138.17203,116,1142.28,7.6152,592.0,3.94667,9.28,0.06187,0.1131,-0.30952,-0.10918,,,,,,,,,,,1142.28
150,Medium,0.06,4,1150.22,1145.39087,116,1150.22,7.66813,542.0,3.61333,13.22,0.08813,0.24476,-0.23292,-0.07547,,,,,,,,,,,1150.22
150,Medium,0.06,5,1166.78,1160.52396,113,1166.78,7.77853,490.0,3.26667,21.78,0.1452,0.28476,-0.23292,-0.11808,,,,,,,,,,,1166.78
150,Medium,0.06,6,1182.42,1176.2626,114,1182.42,7.8828,413.0,2.75333,29.42,0.19613,0.24476,-0.17857,-0.09359,,,,,,,,,,,1182.42
150,Medium,0.06,7,1195.9,1192.10889,99,1195.9,7.97267,422.0,2.81333,36.9,0.246,0.24476,-0.17857,-0.05717,,,,,,,,,,,1195.9
150,Medium,0.08,3,1150.56,1141.8955,89,1150.56,7.6704,575.0,3.83333,8.56,0.05707,0.15476,-0.24675,-0.13658,,,,,,,,,,,1150.56
150,Medium,0.08,4,1151.44,1149.13231,103,1151.44,7.67627,518.0,3.45333,11.44,0.07627,0.15476,-0.23292,-0.08092,,,,,,,,,,,1151.44
150,Medium,0.08,5,1168.88,1168.18075,101,1168.88,7.79253,499.0,3.32667,26.88,0.1792,0.28476,-0.23292,-0.11633,,,,,,,,,,,1168.88
150,Medium,0.08,6,1183.84,1183.07074,127,1183.84,7.89227,395.0,2.63333,16.84,0.11227,0.24476,-0.18944,,,,,,,,,,,,1183.84
150,Medium,0.08,7,1208.4,1202.59107,95,1208.4,8.056,406.0,2.70667,33.4,0.22267,0.24476,-0.17857,-0.04399,,,,,,,,,,,1208.4
150,Medium,0.1,3,1149.7,1144.33511,99,1149.7,7.66467,560.0,3.73333,7.7,0.05133,0.28476,-0.29221,-0.13586,,,,,,,,,,,1149.7
150,Medium,0.1,4,1154.4,1152.42082,103,1154.4,7.696,513.0,3.42,13.4,0.08933,0.24476,-0.18944,-0.09254,,,,,,,,,,,1154.4
150,Medium,0.1,5,1179.1,1173.80064,106,1179.1,7.86067,478.0,3.18667,20.1,0.134,0.28476,-0.17857,-0.09521,,,,,,,,,,,1179.1
150,Medium,0.1,6,1192.3,1187.36605,107,1192.3,7.94867,384.0,2.56,36.3,0.242,0.24476,-0.17857,-0.06372,,,,,,,,,,,1192.3
150,Medium,0.1,7,1214.8,1211.48263,87,1214.8,8.09867,396.0,2.64,35.8,0.23867,0.24476,-0.17857,-0.03228,,,,,,,,,,,1214.8
