I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrangeundercover,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n,lagrange
100,Medium,0,3,896.0,896.0,46,896.0,8.96,722.0,7.22,4.0,0.04,0.08897,-0.37857,-0.17224,,,,,,,,,,,896.0
100,Medium,0,4,902.0,896.0,41,902.0,9.02,705.0,7.05,14.0,0.14,-0.01629,-0.45489,-0.18916,,,,,,,,,,,902.0
100,Medium,0,5,898.0,896.0,44,898.0,8.98,721.0,7.21,1.0,0.01,0.13203,-0.45489,-0.17967,,,,,,,,,,,898.0
100,Medium,0,6,896.0,896.0,37,896.0,8.96,791.0,7.91,0.0,0.0,-0.02857,-0.42857,-0.23366,,,,,,,,,,,896.0
100,Medium,0,7,899.0,896.0,41,899.0,8.99,689.00001,6.89,0.0,0.0,0.13203,-0.42857,-0.18495,,,,,,,,,,,899.0
100,Medium,0.02,3,921.74,916.64357,182,921.74,9.2174,351.0,3.51,19.74,0.1974,0.45604,-0.24675,0.00795,,,,,,,,,,,921.74
100,Medium,0.02,4,928.24,919.9027,157,928.24,9.2824,355.0,3.55,20.24,0.2024,0.45604,-0.18944,0.00796,,,,,,,,,,,928.24
100,Medium,0.02,5,927.2,923.40605,172,927.2,9.272,362.0,3.62,26.2,0.262,0.40476,-0.24675,-0.01041,,,,,,,,,,,927.2
100,Medium,0.02,6,934.4,927.20919,182,934.4,9.344,357.0,3.57,27.4,0.274,0.45604,-0.18944,0.01464,,,,,,,,,,,934.4
100,Medium,0.02,7,934.04,929.93126,187,934.04,9.3404,362.0,3.62,28.04,0.2804,0.6581,-0.18944,0.0081,,,,,,,,,,,934.04
100,Medium,0.04,3,946.12,937.38605,168,946.12,9.4612,346.0,3.46,39.12,0.3912,0.45604,-0.18944,-0.01249,,,,,,,,,,,946.12
100,Medium,0.04,4,951.0,943.98396,139,951.0,9.51,350.0,3.5,43.0,0.43,0.45604,-0.18944,0.02173,,,,,,,,,,,951.0
100,Medium,0.04,5,959.4,950.48464,143,959.4,9.594,351.0,3.51,41.4,0.414,0.6581,-0.18944,0.02256,,,,,,,,,,,959.4
100,Medium,0.04,6,965.8,957.85576,150,965.8,9.658,334.0,3.34,50.8,0.508,0.45604,-0.23292,0.02715,,,,,,,,,,,965.8
100,Medium,0.04,7,968.4,962.11053,148,968.4,9.684,325.0,3.25,50.4,0.504,0.45604,-0.18944,-0.0202,,,,,,,,,,,968.4
100,Medium,0.06,3,965.92,957.35048,131,965.92,9.6592,335.0,3.35,42.92,0.4292,0.28476,-0.17857,-0.02816,,,,,,,,,,,965.92
100,Medium,0.06,4,975.46,967.03215,128,975.46,9.7546,330.0,3.3,56.46,0.5646,0.25404,-0.17857,-0.03617,,,,,,,,,,,975.46
100,Medium,0.06,5,981.86,975.83577,138,981.86,9.8186,317.0,3.17,57.86,0.5786,0.6581,-0.18944,0.01975,,,,,,,,,,,981.86
100,Medium,0.06,6,993.14,985.40751,112,993.14,9.9314,312.0,3.12,76.14,0.7614,0.29752,-0.18944,-0.03533,,,,,,,,,,,993.14
100,Medium,0.06,7,999.58,990.43231,110,999.58,9.9958,299.0,2.99,65.58,0.6558,0.6581,-0.18944,0.00746,,,,,,,,,,,999.58
100,Medium,0.08,3,983.36,974.84637,119,983.36,9.8336,312.0,3.12,53.36,0.5336,0.29752,-0.23292,-0.05868,,,,,,,,,,,983.36
100,Medium,0.08,4,991.46106,986.97436,110,991.461,9.91461,297.0,2.97,63.461,0.63461,0.28476,-0.17857,-0.07388,,,,,,,,,,,991.461
100,Medium,0.08,5,1001.92,996.69716,106,1001.92,10.0192,289.0,2.89,62.92,0.6292,0.6581,-0.18944,-0.02392,,,,,,,,,,,1001.92
100,Medium,0.08,6,1018.24,1008.90538,99,1018.24,10.1824,282.0,2.82,75.24,0.7524,0.6581,-0.18944,-0.0038,,,,,,,,,,,1018.24
100,Medium,0.08,7,1024.4,1015.2969,90,1024.4,10.244,263.0,2.63,69.4,0.694,0.6581,-0.17857,0.00594,,,,,,,,,,,1024.4
100,Medium,0.1,3,994.7,990.39388,116,994.7,9.947,300.0,3.0,59.7,0.597,0.29752,-0.18944,-0.07569,,,,,,,,,,,994.7
100,Medium,0.1,4,1010.5,1004.38281,113,1010.5,10.105,278.0,2.78,83.5,0.835,0.45604,-0.1369,-0.0667,,,,,,,,,,,1010.5
100,Medium,0.1,5,1025.79999,1015.63514,101,1025.8,10.258,258.0,2.58,102.8,1.028,0.45604,-0.18944,-0.05136,,,,,,,,,,,1025.8
100,Medium,0.1,6,1034.8,1028.87171,91,1034.8,10.348,227.0,2.27,68.8,0.688,0.45604,-0.1369,-0.03412,,,,,,,,,,,1034.8
100,Medium,0.1,7,1042.8,1035.7099,75,1042.8,10.428,225.0,2.25,73.8,0.738,0.45604,-0.1369,-0.02909,,,,,,,,,,,1042.8
