I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm,undercover_norm_n,cons_norm_n,understaffing_norm_n,perf_norm_n
100,0,3,10.71818,5.69091,10.71818,0.0,10.72727,6.2333,10.72727,0.0
100,0,4,10.75455,5.9,10.75455,0.0,10.72727,6.2333,10.72727,0.0
100,0,5,10.73636,6.8,10.73636,0.0,10.72727,6.2333,10.72727,0.0
100,0,6,10.79091,6.06364,10.79091,0.0,10.72727,6.2333,10.72727,0.0
100,0,7,10.73636,6.2,10.73636,0.0,10.72727,6.2333,10.72727,0.0
100,0.02,3,10.74473,3.66364,10.71818,0.02655,11.10915,6.76751,10.71818,0.39097
100,0.02,4,10.80636,3.03636,10.76364,0.04273,11.29871,6.76751,10.71818,0.58053
100,0.02,5,10.86455,2.91818,10.78182,0.08273,11.4236,6.76751,10.71818,0.70541
100,0.02,6,10.83,2.91818,10.75455,0.07545,11.52635,6.76751,10.71818,0.80817
100,0.02,7,10.86073,2.99091,10.77273,0.088,11.59865,6.76751,10.71818,0.88047
100,0.04,3,10.79345,3.42727,10.74545,0.048,11.26077,5.76472,10.71818,0.54259
100,0.04,4,10.84145,3.18182,10.75455,0.08691,11.5479,5.76472,10.71818,0.82972
100,0.04,5,10.89709,2.9,10.75455,0.14255,11.77092,5.76472,10.71818,1.05274
100,0.04,6,10.92655,2.9,10.79091,0.13564,11.93762,5.76472,10.71818,1.21943
100,0.04,7,11.00073,2.99091,10.80909,0.19164,12.03594,5.76472,10.71818,1.31776
100,0.06,3,10.83855,3.57273,10.78182,0.05673,11.55211,5.60387,10.71818,0.83392
100,0.06,4,10.86127,3.11818,10.73636,0.12491,12.0404,5.60387,10.71818,1.32221
100,0.06,5,10.95055,2.9,10.75455,0.196,12.38107,5.60387,10.71818,1.66289
100,0.06,6,11.02636,2.89091,10.83636,0.19,12.66722,5.60387,10.71818,1.94903
100,0.06,7,11.01782,2.96364,10.77273,0.24509,12.88306,5.60387,10.71818,2.16488
100,0.08,3,10.84327,3.56364,10.76364,0.07964,11.81599,5.53141,10.71818,1.09781
100,0.08,4,10.928,3.13636,10.77273,0.15527,12.3464,5.53141,10.71818,1.62822
100,0.08,5,11.00073,2.78182,10.79091,0.20982,12.8888,5.53141,10.71818,2.17062
100,0.08,6,11.05564,2.63636,10.87273,0.18291,13.18894,5.53141,10.71818,2.47076
100,0.08,7,11.12436,2.73636,10.83636,0.288,13.4195,5.53141,10.71818,2.70131
100,0.1,3,10.85364,3.47273,10.8,0.05364,12.04144,5.76256,10.71818,1.32326
100,0.1,4,10.97273,2.91818,10.81818,0.15455,12.5422,5.76256,10.71818,1.82401
100,0.1,5,11.03636,2.66364,10.87273,0.16364,13.09347,5.76256,10.71818,2.37528
100,0.1,6,11.06909,2.58182,10.88182,0.18727,13.48538,5.76256,10.71818,2.7672
100,0.1,7,11.17545,2.58182,10.91818,0.25727,13.76942,5.76256,10.71818,3.05124
