I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm,undercover_norm_n,cons_norm_n,understaffing_norm_n,perf_norm_n
150,0,3,5.27407,8.19259,5.27407,0,5.45926,7.15724,5.45926,0.0
150,0,4,5.48889,8.65926,5.48889,0,5.45926,7.15724,5.45926,0.0
150,0,5,5.44444,7.99259,5.44444,0,5.45926,7.15724,5.45926,0.0
150,0,6,5.12593,8.16296,5.12593,0,5.45926,7.15724,5.45926,0.0
150,0,7,4.84444,7.99259,4.84444,0,5.45926,7.15724,5.45926,0.0
150,0.02,3,5.58044,4.88889,5.51111,0.06933,6.04104,8.03117,5.45926,0.58179
150,0.02,4,5.57407,4.47407,5.48148,0.09259,6.32621,8.03117,5.45926,0.86695
150,0.02,5,5.63215,4.28889,5.52593,0.10622,6.4628,8.03117,5.45926,1.00354
150,0.02,6,5.69541,4.24444,5.55556,0.13985,6.60742,8.03117,5.45926,1.14816
150,0.02,7,5.7443,4.16296,5.57778,0.16652,6.71701,8.03117,5.45926,1.25775
150,0.04,3,5.64593,4.94815,5.53333,0.11259,6.36564,7.11045,5.45926,0.90639
150,0.04,4,5.70489,4.48148,5.57778,0.12711,6.6786,7.11045,5.45926,1.21934
150,0.04,5,5.78341,4.14815,5.62222,0.16119,7.01288,7.11045,5.45926,1.55363
150,0.04,6,5.87052,3.96296,5.68148,0.18904,7.38862,7.11045,5.45926,1.92936
150,0.04,7,5.95437,3.74074,5.74074,0.21363,7.66942,7.11045,5.45926,2.21017
150,0.06,3,5.72326,4.9037,5.53333,0.18993,6.69502,6.52365,5.45926,1.23576
150,0.06,4,5.77022,4.04444,5.62963,0.14059,7.10859,6.52365,5.45926,1.64933
150,0.06,5,5.87007,3.73333,5.72593,0.14415,7.52155,6.52365,5.45926,2.06229
150,0.06,6,5.99348,3.54815,5.76296,0.23052,7.94552,6.52365,5.45926,2.48626
150,0.06,7,6.11481,3.37778,5.85926,0.25556,8.34471,6.52365,5.45926,2.88545
150,0.08,3,5.73659,4.60741,5.62963,0.10696,8.20029,7.94309,5.45926,2.74103
150,0.08,4,5.82607,3.93333,5.71852,0.10756,8.91842,7.94309,5.45926,3.45916
150,0.08,5,5.90815,3.74074,5.75556,0.15259,9.49472,7.94309,5.45926,4.03546
150,0.08,6,6.06193,3.32593,5.85926,0.20267,10.02681,7.94309,5.45926,4.56755
150,0.08,7,6.21304,2.91111,5.99259,0.22044,10.5056,7.94309,5.45926,5.04634
150,0.1,3,5.76815,4.05926,5.66667,0.10148,7.18945,6.88801,5.45926,1.73019
150,0.1,4,5.83185,4.02222,5.72593,0.10593,8.25668,6.88801,5.45926,2.79742
150,0.1,5,5.98741,3.71111,5.77778,0.20963,8.89772,6.88801,5.45926,3.43846
150,0.1,6,6.12667,3.04444,5.96296,0.1637,9.79226,6.88801,5.45926,4.333
150,0.1,7,6.29407,2.71852,5.88148,0.41259,10.28084,6.88801,5.45926,4.82158
