I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm,undercover_norm_n,cons_norm_n,understaffing_norm_n,perf_norm_n
100,0,3,8.96,7.22,8.92,0.04,8.960000000000012,8.066831683168315,8.960000000000012,0.0
100,0,5,8.98,7.21,8.97,0.01,8.960000000000024,8.066831683168319,8.960000000000024,0.0
100,0,7,8.99,6.89,8.99,0.0,8.960000000000027,8.066831683168315,8.960000000000027,0.0
100,0.02,3,9.23632,3.54,9.06,0.17632,9.112986633663386,8.06683168316832,8.96000000000003,0.1529866336633664
100,0.02,5,9.272,3.62,9.01,0.262,9.292033267326747,8.066831683168324,8.960000000000031,0.3320332673267329
100,0.02,7,9.3516,3.61,9.06,0.2916,9.439643564356448,8.06683168316832,8.960000000000031,0.4796435643564358
100,0.04,3,9.4332,3.47,9.05,0.3832,9.545964922206515,8.066831683168317,8.960000000000033,0.5859649222065063
100,0.04,5,9.5996,3.51,9.18,0.4196,9.734774257425746,8.066831683168314,8.960000000000033,0.774774257425742
100,0.04,7,9.686,3.24,9.21,0.476,9.919287128712881,8.06683168316831,8.960000000000033,0.9592871287128707
100,0.06,3,9.6592,3.35,9.23,0.4292,10.006942376237626,8.066831683168308,8.959999999999948,1.0469423762376229
100,0.06,5,9.8436,3.19,9.27,0.5736,10.197643924392445,8.066831683168308,8.959999999999873,1.2376439243924398
100,0.06,7,9.9696,3.05,9.33,0.6396,10.398930693069316,8.06683168316831,8.95999999999981,1.4389306930693082
100,0.08,3,9.8336,3.12,9.3,0.5336,10.476534958111198,8.066831683168314,8.95999999999976,1.5165349581111973
100,0.08,5,10.0192,2.89,9.39,0.6292,10.667702404526167,8.066831683168314,8.959999999999713,1.707702404526167
100,0.08,7,10.244,2.63,9.55,0.694,10.878574257425743,8.066831683168315,8.959999999999674,1.9185742574257423
100,0.1,3,9.98,3.01,9.35,0.63,10.949896658415838,8.066831683168317,8.95999999999964,1.9898966584158415
100,0.1,5,10.258,2.58,9.23,1.028,11.141143855562024,8.066831683168317,8.95999999999961,2.1811438555620266
100,0.1,7,10.428,2.25,9.69,0.738,11.358217821782176,8.066831683168319,8.959999999999583,2.3982178217821772
