I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrangeundercover,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n,lagrange
100,Medium,0,3,1179.0,1179.0,36,1179.0,10.71818,626.0,5.69091,0.0,0.0,0.14643,-0.40226,-0.13565,,,,,,,,,,,1179.0
100,Medium,0,4,1183.0,1179.0,31,1183.0,10.75455,649.0,5.9,0.0,0.0,0.17749,-0.38413,-0.19999,,,,,,,,,,,1183.0
100,Medium,0,5,1181.0,1179.0,32,1181.0,10.73636,748.0,6.8,0.0,0.0,0.13203,-0.45489,-0.19716,,,,,,,,,,,1181.0
100,Medium,0,6,1187.0,1179.0,39,1187.0,10.79091,667.0,6.06364,0.0,0.0,0.07143,-0.38413,-0.22985,,,,,,,,,,,1187.0
100,Medium,0,7,1181.0,1179.0,37,1181.0,10.73636,682.0,6.2,0.0,0.0,0.17749,-0.50752,-0.20228,,,,,,,,,,,1181.0
100,Medium,0.02,3,1181.92,1181.53277,120,1181.92,10.74473,403.0,3.66364,2.92,0.02655,0.1131,-0.24675,-0.11394,,,,,,,,,,,1181.92
100,Medium,0.02,4,1188.7,1184.06665,163,1188.7,10.80636,334.0,3.03636,4.7,0.04273,0.25404,-0.18944,-0.05672,,,,,,,,,,,1188.7
100,Medium,0.02,5,1195.1,1185.75655,145,1195.1,10.86455,321.0,2.91818,9.1,0.08273,0.45604,-0.18944,-0.02833,,,,,,,,,,,1195.1
100,Medium,0.02,6,1191.3,1187.44517,173,1191.3,10.83,321.0,2.91818,8.3,0.07545,0.40476,-0.17857,-0.03107,,,,,,,,,,,1191.3
100,Medium,0.02,7,1194.68,1189.3952,142,1194.68,10.86073,329.0,2.99091,9.68,0.088,0.6581,-0.17857,-0.03525,,,,,,,,,,,1194.68
100,Medium,0.04,3,1187.28,1184.00755,103,1187.28,10.79345,377.0,3.42727,5.28,0.048,0.1131,-0.24675,-0.1165,,,,,,,,,,,1187.28
100,Medium,0.04,4,1192.56,1189.06255,115,1192.56,10.84145,350.0,3.18182,9.56,0.08691,0.45604,-0.18944,-0.02541,,,,,,,,,,,1192.56
100,Medium,0.04,5,1198.68,1192.46353,144,1198.68,10.89709,319.0,2.9,15.68,0.14255,0.29752,-0.18944,-0.0295,,,,,,,,,,,1198.68
100,Medium,0.04,6,1201.92,1195.80779,172,1201.92,10.92655,319.0,2.9,14.92,0.13564,0.40476,-0.18944,-0.01455,,,,,,,,,,,1201.92
100,Medium,0.04,7,1210.08,1199.70385,112,1210.08,11.00073,329.0,2.99091,21.08,0.19164,0.45604,-0.18944,-0.02117,,,,,,,,,,,1210.08
100,Medium,0.06,3,1192.24,1186.41858,100,1192.24,10.83855,393.0,3.57273,6.24,0.05673,0.1131,-0.24675,-0.10943,,,,,,,,,,,1192.24
100,Medium,0.06,4,1194.74,1193.98113,109,1194.74,10.86127,343.0,3.11818,13.74,0.12491,0.45604,-0.18944,-0.04715,,,,,,,,,,,1194.74
100,Medium,0.06,5,1204.56,1199.11665,125,1204.56,10.95055,319.0,2.9,21.56,0.196,0.45604,-0.18944,-0.02479,,,,,,,,,,,1204.56
100,Medium,0.06,6,1212.9,1204.08548,108,1212.9,11.02636,318.0,2.89091,20.9,0.19,0.45604,-0.17857,-0.00432,,,,,,,,,,,1212.9
100,Medium,0.06,7,1211.96,1209.91578,99,1211.96,11.01782,326.0,2.96364,26.96,0.24509,0.45604,-0.18944,-0.00685,,,,,,,,,,,1211.96
100,Medium,0.08,3,1192.76,1188.75936,86,1192.76,10.84327,392.0,3.56364,8.76,0.07964,0.15476,-0.24675,-0.10507,,,,,,,,,,,1192.76
100,Medium,0.08,4,1202.08,1198.81501,94,1202.08,10.928,345.0,3.13636,17.08,0.15527,0.45604,-0.1369,-0.01356,,,,,,,,,,,1202.08
100,Medium,0.08,5,1210.08,1205.38737,100,1210.08,11.00073,306.0,2.78182,23.08,0.20982,0.45604,-0.18944,-0.05452,,,,,,,,,,,1210.08
100,Medium,0.08,6,1216.12,1211.68897,97,1216.12,11.05564,290.0,2.63636,20.12,0.18291,0.45604,-0.1369,-0.00649,,,,,,,,,,,1216.12
100,Medium,0.08,7,1223.68,1219.20395,72,1223.68,11.12436,301.0,2.73636,31.68,0.288,0.45604,-0.18944,-0.04357,,,,,,,,,,,1223.68
100,Medium,0.1,3,1193.9,1190.68653,96,1193.9,10.85364,382.0,3.47273,5.9,0.05364,0.1131,-0.24675,-0.12864,,,,,,,,,,,1193.9
100,Medium,0.1,4,1207.0,1203.18025,90,1207.0,10.97273,321.0,2.91818,17.0,0.15455,0.28476,-0.18944,-0.07263,,,,,,,,,,,1207.0
100,Medium,0.1,5,1214.0,1209.81778,89,1214.0,11.03636,293.0,2.66364,18.0,0.16364,0.45604,-0.18944,-0.04882,,,,,,,,,,,1214.0
100,Medium,0.1,6,1217.6,1216.815,99,1217.6,11.06909,284.0,2.58182,20.6,0.18727,0.45604,-0.1369,-0.03704,,,,,,,,,,,1217.6
100,Medium,0.1,7,1229.3,1226.30827,91,1229.3,11.17545,284.0,2.58182,28.3,0.25727,0.45604,-0.17857,-0.02736,,,,,,,,,,,1229.3
