I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrangeundercover,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n,lagrange
100,Medium,0,3,904.0,896.0,37,902.0,9.02,750.0,7.5,0,0,0.08254,-0.50752,-0.23379,,,,,,,,,,,904.0
100,Medium,0,4,899.0,896.0,47,899.0,8.99,724.0,7.24,0,0,0.17749,-0.39381,-0.2076,,,,,,,,,,,899.0
100,Medium,0,5,901.0,896.0,44,901.0,9.01,764.0,7.64,0,0,0.03634,-0.45489,-0.21296,,,,,,,,,,,901.0
100,Medium,0,6,900.0,896.0,45,900.0,9.0,743.0,7.43,0,0,0.29752,-0.48413,-0.22403,,,,,,,,,,,900.0
100,Medium,0,7,903.0,896.0,33,903.0,9.03,704.0,7.04,0,0,0.09643,-0.42857,-0.14159,,,,,,,,,,,903.0
100,Medium,0.02,3,901.68,900.13763,137,901.68,9.0168,412.0,4.12,3.68,0.0368,0.25404,-0.24675,-0.1146,,,,,,,,,,,901.68
100,Medium,0.02,4,911.24,903.6146,181,911.24,9.1124,390.0,3.9,20.24,0.2024,0.45604,-0.18944,-0.0105,,,,,,,,,,,911.24
100,Medium,0.02,5,907.56,906.07771,149,907.56,9.0756,363.0,3.63,15.56,0.1556,0.45604,-0.18944,-0.0,,,,,,,,,,,907.56
100,Medium,0.02,6,912.12,908.79835,180,912.12,9.1212,363.0,3.63,12.12,0.1212,0.54099,-0.29221,0.01183,,,,,,,,,,,912.12
100,Medium,0.02,7,917.86,912.019,159,917.86,9.1786,364.0,3.64,12.86,0.1286,0.45604,-0.18944,-0.00651,,,,,,,,,,,917.86
100,Medium,0.04,3,905.2,904.10978,125,905.2,9.052,425.0,4.25,7.2,0.072,0.1131,-0.29221,-0.12273,,,,,,,,,,,905.2
100,Medium,0.04,4,915.40001,911.03544,141,915.40001,9.154,387.00001,3.87,45.40001,0.454,0.28476,-0.18944,-0.04358,,,,,,,,,,,915.4
100,Medium,0.04,5,919.52222,916.14564,141,919.52222,9.19522,363.0,3.63,18.52222,0.18522,0.45604,-0.23292,0.01607,,,,,,,,,,,919.522
100,Medium,0.04,6,930.8,921.32456,162,930.8,9.308,352.0,3.52,21.8,0.218,0.45604,-0.18944,0.02949,,,,,,,,,,,930.8
100,Medium,0.04,7,936.76,927.60032,153,936.76,9.3676,362.0,3.62,26.76,0.2676,0.45604,-0.18944,-0.01614,,,,,,,,,,,936.76
100,Medium,0.06,3,913.36,907.96833,122,913.36,9.1336,408.0,4.08,9.36,0.0936,0.15476,-0.24675,-0.11251,,,,,,,,,,,913.36
100,Medium,0.06,4,927.48,918.26259,123,927.48,9.2748,385.0,3.85,18.48,0.1848,0.25404,-0.18944,-0.01868,,,,,,,,,,,927.48
100,Medium,0.06,5,934.06,925.96373,126,934.06,9.3406,347.0,3.47,22.06,0.2206,0.45604,-0.18944,0.00434,,,,,,,,,,,934.06
100,Medium,0.06,6,941.16,933.25432,140,941.16,9.4116,346.0,3.46,28.16,0.2816,0.45604,-0.18944,0.01543,,,,,,,,,,,941.16
100,Medium,0.06,7,945.1,941.76335,110,945.1,9.451,338.0,3.38,30.1,0.301,0.28476,-0.18944,-0.01304,,,,,,,,,,,945.1
100,Medium,0.08,3,913.84,911.69704,122,913.84,9.1384,420.0,4.2,13.84,0.1384,0.1131,-0.29221,-0.12624,,,,,,,,,,,913.84
100,Medium,0.08,4,927.76,924.97305,121,927.76,9.2776,380.0,3.8,21.76,0.2176,0.45604,-0.18944,-0.04065,,,,,,,,,,,927.76
100,Medium,0.08,5,938.04,934.33802,122,938.04,9.3804,334.0,3.34,25.04,0.2504,0.45604,-0.18944,-0.03308,,,,,,,,,,,938.04
100,Medium,0.08,6,952.48,943.50578,126,952.48,9.5248,337.0,3.37,33.48,0.3348,0.45604,-0.17857,0.02545,,,,,,,,,,,952.48
100,Medium,0.08,7,961.08,952.72302,119,961.08,9.6108,320.0,3.2,34.08,0.3408,0.29752,-0.18944,-0.0461,,,,,,,,,,,961.08
100,Medium,0.1,3,920.6,915.23275,90,920.6,9.206,413.0,4.13,13.6,0.136,0.15476,-0.30952,-0.12244,,,,,,,,,,,920.6
100,Medium,0.1,4,933.9,931.11259,106,933.9,9.339,362.0,3.62,23.9,0.239,0.29752,-0.18944,-0.04605,,,,,,,,,,,933.9
100,Medium,0.1,5,945.5,941.29611,104,945.5,9.455,320.0,3.2,23.5,0.235,0.45604,-0.18944,-0.07113,,,,,,,,,,,945.5
100,Medium,0.1,6,956.6,951.51717,126,956.6,9.566,291.0,2.91,29.6,0.296,0.45604,-0.17857,-0.06021,,,,,,,,,,,956.6
100,Medium,0.1,7,964.2,961.96922,97,964.2,9.642,300.0,3.0,35.2,0.352,0.45604,-0.17857,-0.01757,,,,,,,,,,,964.2
