I,pattern,epsilon,chi,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n
50,Low,0,3,211.0,4.688888888888889,366.019801980198,8.133773377337734,0.0,0.0,0.29752,-0.53968,-0.19865,211.0
50,Low,0,4,211.0,4.688888888888889,366.019801980198,8.133773377337734,0.0,0.0,0.29752,-0.53968,-0.19865,211.0
50,Low,0,5,211.0,4.688888888888889,366.019801980198,8.133773377337734,0.0,0.0,0.29752,-0.53968,-0.19865,211.0
50,Low,0,6,211.0,4.688888888888889,366.019801980198,8.133773377337734,0.0,0.0,0.29752,-0.53968,-0.19865,211.0
50,Low,0,7,211.0,4.688888888888889,366.019801980198,8.133773377337734,0.0,0.0,0.29752,-0.53968,-0.19865,211.0
50,Low,0,8,211.0,4.688888888888889,366.019801980198,8.133773377337734,0.0,0.0,0.29752,-0.53968,-0.19865,211.0
50,Low,0.01,3,227.60881188118813,5.057973597359736,366.019801980198,8.133773377337734,16.608811881188124,0.3690847084708472,0.29752,-0.53968,-0.19865,211.0
50,Low,0.01,4,234.72831683168317,5.216184818481848,366.019801980198,8.133773377337734,23.728316831683163,0.5272959295929592,0.29752,-0.53968,-0.19865,211.0
50,Low,0.01,5,238.16465346534653,5.292547854785479,366.019801980198,8.133773377337734,27.164653465346536,0.6036589658965897,0.29752,-0.53968,-0.19865,211.0
50,Low,0.01,6,241.13435643564355,5.358541254125413,366.019801980198,8.133773377337734,30.134356435643564,0.6696523652365237,0.29752,-0.53968,-0.19865,211.0
50,Low,0.01,7,242.04267326732673,5.378726072607261,366.019801980198,8.133773377337734,31.042673267326734,0.6898371837183718,0.29752,-0.53968,-0.19865,211.0
50,Low,0.01,8,243.32148514851485,5.407144114411441,366.019801980198,8.133773377337734,32.321485148514846,0.718255225522552,0.29752,-0.53968,-0.19865,211.0
50,Low,0.02,3,244.21762376237623,5.427058305830584,366.019801980198,8.133773377337734,33.21762376237625,0.7381694169416944,0.29752,-0.53968,-0.19865,211.0
50,Low,0.02,4,258.45663366336635,5.7434807480748065,366.019801980198,8.133773377337734,47.456633663366325,1.0545918591859185,0.29752,-0.53968,-0.19865,211.0
50,Low,0.02,5,265.32930693069306,5.8962068206820675,366.019801980198,8.133773377337734,54.32930693069307,1.2073179317931795,0.29752,-0.53968,-0.19865,211.0
50,Low,0.02,6,271.2687128712871,6.028193619361937,366.019801980198,8.133773377337734,60.26871287128713,1.3393047304730474,0.29752,-0.53968,-0.19865,211.0
50,Low,0.02,7,273.08534653465347,6.068563256325632,366.019801980198,8.133773377337734,62.08534653465347,1.3796743674367435,0.29752,-0.53968,-0.19865,211.0
50,Low,0.02,8,275.6429702970297,6.125399339933994,366.019801980198,8.133773377337734,64.64297029702969,1.436510451045104,0.29752,-0.53968,-0.19865,211.0
50,Low,0.03,3,260.82643564356437,5.79614301430143,366.019801980198,8.133773377337734,49.82643564356435,1.1072541254125412,0.29752,-0.53968,-0.19865,211.0
50,Low,0.03,4,282.1849504950495,6.270776677667767,366.019801980198,8.133773377337734,71.1849504950495,1.581887788778878,0.29752,-0.53968,-0.19865,211.0
50,Low,0.03,5,292.4939603960396,6.499865786578658,366.019801980198,8.133773377337734,81.4939603960396,1.8109768976897689,0.29752,-0.53968,-0.19865,211.0
50,Low,0.03,6,301.40306930693066,6.697845984598459,366.019801980198,8.133773377337734,90.40306930693066,2.00895709570957,0.29752,-0.53968,-0.19865,211.0
50,Low,0.03,7,304.1280198019802,6.758400440044005,366.019801980198,8.133773377337734,93.1280198019802,2.069511551155115,0.29752,-0.53968,-0.19865,211.0
50,Low,0.03,8,307.96445544554456,6.843654565456546,366.019801980198,8.133773377337734,96.96445544554457,2.1547656765676573,0.29752,-0.53968,-0.19865,211.0
50,Low,0.04,3,277.4352475247525,6.165227722772277,366.019801980198,8.133773377337734,66.4352475247525,1.4763388338833887,0.29752,-0.53968,-0.19865,211.0
50,Low,0.04,4,305.91326732673264,6.798072607260726,366.019801980198,8.133773377337734,94.91326732673265,2.109183718371837,0.29752,-0.53968,-0.19865,211.0
50,Low,0.04,5,319.65861386138613,7.103524752475248,366.019801980198,8.133773377337734,108.65861386138614,2.414635863586359,0.29752,-0.53968,-0.19865,211.0
50,Low,0.04,6,331.53742574257427,7.3674983498349835,366.019801980198,8.133773377337734,120.53742574257426,2.678609460946095,0.29752,-0.53968,-0.19865,211.0
50,Low,0.04,7,335.17069306930694,7.448237623762377,366.019801980198,8.133773377337734,124.17069306930694,2.759348734873487,0.29752,-0.53968,-0.19865,211.0
50,Low,0.04,8,340.28594059405935,7.561909790979097,366.019801980198,8.133773377337734,129.28594059405938,2.873020902090208,0.29752,-0.53968,-0.19865,211.0
50,Low,0.05,3,294.0440594059406,6.534312431243124,366.019801980198,8.133773377337734,83.04405940594054,1.8454235423542347,0.29752,-0.53968,-0.19865,211.0
50,Low,0.05,4,329.64158415841587,7.325368536853686,366.019801980198,8.133773377337734,118.64158415841587,2.636479647964797,0.29752,-0.53968,-0.19865,211.0
50,Low,0.05,5,346.82326732673266,7.707183718371837,366.019801980198,8.133773377337734,135.82326732673266,3.018294829482948,0.29752,-0.53968,-0.19865,211.0
