I,prob,lb,ub,gap,time,lb_cg,ub_cg,gap_cg,time_cg,iter,time_rmp,time_sp,time_ip
25,Low,0.0,629.2,1.0,4.0,224.80869851131894,225.89999999999992,0.485,196.67554688453674,82,2.044,193.242,1719310974.0501828
25,Medium,0.0,616.0,1.0,4.0,203.93550286240577,204.59999963792066,0.326,299.03746795654297,118,2.873,294.37,1719311337.81326
25,High,2.0,633.0,1.0,4.0,237.80893358829488,238.29999999999995,0.206,202.71476912498474,74,1.703,199.943,1719311605.415769
50,Low,343.7,1326.0,0.74,4.02,447.76801363605927,448.7999997157791,0.23,344.93300676345825,120,2.86,339.546,1719312014.877985
50,Medium,347.0,1281.8,0.73,4.01,458.1776948079818,458.79999967778235,0.136,187.8539741039276,89,2.089,184.344,1719312268.7382379
50,High,323.1,1286.0,0.75,4.01,433.36597293365116,433.70000000000005,0.077,119.00763010978699,84,1.959,115.881,1719312453.215465
100,Low,6.0,2618.1,1.0,4.02,957.2980899696096,957.9999999336161,0.073,222.86408495903015,88,2.08,217.97,1719312740.910039
100,Medium,6.0,2647.6,1.0,4.03,833.3477739487806,833.8000004381704,0.054,148.76325392723083,83,1.949,145.132,1719312957.1316009
100,High,8.0,2474.0,1.0,4.02,922.5670904832602,923.7000000000004,0.123,245.1961669921875,103,2.485,240.469,1719313268.425431
150,Low,14.0,3753.5,1.0,4.04,1358.6158109370908,1359.4999993337399,0.065,499.07570362091064,103,2.485,467.405,1719313808.268801
150,Medium,2.0,3817.6,1.0,4.05,1350.479246458332,1351.799998616759,0.098,149.9929759502411,115,2.762,144.181,1719314052.3840241
150,High,0.0,3850.0,1.0,4.04,1392.8656692624693,1393.1999941874367,0.024,374.96320700645447,96,2.304,371.081,1719314496.5085871
