I,prob,lb,ub,gap,time,lb_cg,ub_cg,gap_cg,time_cg,iter,time_rmp,time_sp,time_ip
50,Low,343.7,1326.0,0.74,3.01,447.768,448.7,0.208,350.704,113,2.768,345.622,0.713
50,Medium,0.0,1281.8,1.0,3.01,458.178,458.9,0.158,169.238,79,1.877,166.196,0.087
50,High,323.1,1286.0,0.75,3.01,433.366,433.7,0.077,98.184,67,1.577,95.732,0.038
100,Low,6.0,2618.1,1.0,3.02,957.298,958.1,0.084,247.525,96,2.314,240.384,3.497
100,Medium,6.0,2647.6,1.0,3.03,833.348,833.8,0.054,139.695,76,1.781,136.686,0.147
100,High,8.0,2474.0,1.0,3.03,922.567,923.7,0.123,264.517,103,2.489,259.477,1.229
150,Low,14.0,3753.5,1.0,3.02,1358.616,1359.4,0.058,670.872,107,2.55,590.48,76.418
150,Medium,2.0,3817.6,1.0,3.03,1350.479,1351.8,0.098,134.57,90,2.126,129.836,1.475
150,High,0.0,3850.0,1.0,3.03,1392.866,1393.3,0.031,415.299,97,2.302,411.507,0.084
