I,prob,lb,ub,gap,time,lb_cg,ub_cg,gap_cg,time_cg,iter,time_rmp,time_sp,time_ip
50,Low,343.7,1326.0,0.74,3.01,447.768,448.7,0.208,341.208,113,2.733,336.108,0.75
50,Medium,0.0,1281.8,1.0,3.01,458.178,458.9,0.158,166.562,79,1.872,163.523,0.087
50,High,323.1,1286.0,0.75,3.01,433.366,433.7,0.077,95.693,67,1.565,93.238,0.038
100,Low,6.0,2618.1,1.0,3.02,957.298,958.1,0.084,245.067,96,2.248,238.13,3.348
100,Medium,6.0,2647.6,1.0,3.02,833.348,833.8,0.054,137.292,76,1.761,134.32,0.134
100,High,8.0,2474.0,1.0,3.02,922.567,923.7,0.123,255.301,103,2.461,250.368,1.173
150,Low,14.0,3753.5,1.0,3.02,1358.616,1359.4,0.058,650.777,107,2.589,572.018,74.696
150,Medium,2.0,3817.6,1.0,3.02,1350.479,1351.8,0.098,130.439,90,2.065,125.693,1.578
150,High,0.0,3850.0,1.0,3.04,1392.866,1393.3,0.031,410.15,97,2.283,406.347,0.086
