epsilon,chi,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n
0.025,3,901.3,9.013,423.0,4.23,7.3,0.073,974.23214,9.74232,769.85714,7.69857,77.23214,0.77232
0.025,5,908.88824,9.08888,366.0,3.66,12.88824,0.12888,1021.02391,10.21024,726.21739,7.26217,125.02391,1.25024
0.025,7,916.625,9.16625,371.0,3.71,25.625,0.25625,1019.18611,10.19186,680.11111,6.80111,123.18611,1.23186
0.05,3,906.4,9.064,404.99999,4.05,12.4,0.124,1051.46429,10.51464,769.85714,7.69857,154.46429,1.54464
0.05,5,921.9,9.219,360.0,3.6,29.9,0.299,1146.04783,11.46048,726.21739,7.26217,250.04783,2.50048
0.05,7,935.85,9.3585,366.0,3.66,31.85,0.3185,1142.37222,11.42372,680.11111,6.80111,246.37222,2.46372
0.1,3,915.7,9.157,416.0,4.16,15.7,0.157,1205.92857,12.05929,769.85714,7.69857,308.92857,3.08929
0.1,5,942.1,9.421,317.0,3.17,27.1,0.271,1396.09565,13.96096,726.21739,7.26217,500.09565,5.00096
0.1,7,963.0,9.63,298.0,2.98,32.0,0.32,1388.74444,13.88744,680.11111,6.80111,492.74444,4.92744
