epsilon,chi,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n
0.025,3,901.3,9.013,423.0,4.23,7.3,0.073,1091.0375,10.91037,743.125,7.43125,194.0375,1.94037
0.025,5,908.88824,9.08888,366.0,3.66,12.88824,0.12888,1191.4,11.914,556.6,5.566,295.4,2.954
0.025,7,916.625,9.16625,371.0,3.71,25.625,0.25625,1123.2,11.232,611.59998,6.116,227.2,2.272
0.05,3,906.4,9.064,404.99999,4.05,12.4,0.124,1091.0375,10.91037,743.125,7.43125,194.0375,1.94037
0.05,5,921.9,9.219,360.0,3.6,29.9,0.299,1191.4,11.914,556.6,5.566,295.4,2.954
0.05,7,935.85,9.3585,366.0,3.66,31.85,0.3185,1123.2,11.232,611.59998,6.116,227.2,2.272
0.1,3,915.7,9.157,416.0,4.16,15.7,0.157,1091.0375,10.91037,743.125,7.43125,194.0375,1.94037
0.1,5,942.1,9.421,317.0,3.17,27.1,0.271,1191.4,11.914,556.6,5.566,295.4,2.954
0.1,7,963.0,9.63,298.0,2.98,32.0,0.32,1123.2,11.232,611.59998,6.116,227.2,2.272
