I,prob,lb,ub,gap,time,lb_cg,ub_cg,gap_cg,time_cg,iter,time_rmp,time_sp,time_ip
25,Low,0.0,616.3,1.0,5.0,215.58134435349564,215.99999999999994,0.194,234.0796730518341,101,2.595,229.775,1719234188.37319
25,Medium,0.0,616.3,1.0,5.0,215.5813436051711,216.09999999999994,0.241,172.59632182121277,83,2.342,168.808,1719234426.87017
25,High,0.0,616.3,1.0,5.0,215.58134435349564,215.99999999999994,0.194,213.3245439529419,101,2.387,209.345,1719234705.8691041
50,Low,313.8,1270.0,0.75,5.0,442.4277793956175,443.09999987500214,0.152,263.0460982322693,104,2.576,258.776,1719235035.251909
50,Medium,313.8,1270.0,0.75,5.0,442.4277793956175,443.09999987500214,0.152,254.79010486602783,104,2.538,250.512,1719235356.589201
50,High,313.8,1270.0,0.75,5.0,442.4277794246809,443.0999999100501,0.152,198.75903487205505,90,2.073,195.32,1719235621.628339
100,Low,2.0,2500.0,1.0,5.0,900.2081211243792,900.899998846229,0.077,269.18175983428955,109,2.589,264.525,1719235957.849866
100,Medium,2.0,2500.0,1.0,5.0,900.2081211243792,900.899998846229,0.077,298.57143688201904,109,3.185,293.444,1719236324.335957
100,High,2.0,2500.0,1.0,5.0,900.2081211243792,900.899998846229,0.077,324.25685000419617,109,2.752,319.472,1719236716.23282
150,Low,4.0,3863.0,1.0,5.0,1356.0688152111118,1356.5999981244538,0.039,300.8873600959778,106,2.754,296.428,1719237085.8660312
150,Medium,4.0,3863.0,1.0,5.0,1356.0688152111118,1356.5999981244538,0.039,336.1594338417053,106,2.865,331.045,1719237491.2174761
150,High,4.0,3863.0,1.0,5.0,1356.0688152111118,1356.5999981244538,0.039,297.9372909069061,106,2.647,293.586,1719237858.96506
