I,prob,lb,ub,gap,time,lb_cg,ub_cg,gap_cg,time_cg,iter,time_rmp,time_sp,time_ip
100,Low,868.4,1006.8,0.14,7200.2,957.298,958.0,0.073,243.643,88,2.232,238.169,1.835
100,Medium,753.9,892.5,0.16,7200.26,833.348,833.8,0.054,286.798,90,3.775,279.388,0.257
100,High,837.5,1087.2,0.23,7200.14,922.567,923.7,0.123,235.566,103,2.413,230.811,0.884
