epsilon,chi,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n
0,4,755.0,7.55,701.0,7.01,0.0,0.0,755.0,7.55,701.0,7.01,0.0,0.0
0.02,4,755.62,7.5562,314.0,3.14,0.62,0.0062,840.16,8.4016,701.0,7.01,85.16,0.8516
0.04,4,756.24,7.5624,302.0,3.02,1.24,0.0124,925.32,9.2532,701.0,7.01,170.32,1.7032
0.06,4,756.92,7.5692,303.0,3.03,1.92,0.0192,1010.48,10.1048,701.0,7.01,255.48,2.5548
0.08,4,757.48,7.5748,311.0,3.11,2.48,0.0248,1095.64,10.9564,701.0,7.01,340.64,3.4064
0.1,4,757.9,7.579,311.0,3.11,5.9,0.059,1180.8,11.808,701.0,7.01,425.8,4.258
