epsilon,chi,obj,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n
0.1002,3,915.727,915.73,9.157,430.99999979705007,4.3099999979705,14.73,0.14730000000000001,921.15,9.212,430.99999979705007,4.3099999979705,25.150200125530553,0.25150200125530553
0.1002,5,942.058,942.06,9.421,321.0,3.21,25.06,0.2506,920.349,9.203,321.0,3.21,24.348599999999983,0.24348599999999984
0.1002,7,963.074,963.07,9.631,297.99999820666665,2.9799999820666665,33.07,0.3307,926.862,9.269,297.99999820666665,2.9799999820666665,30.86159982030802,0.30861599820308017
