epsilon,chi,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n
0,2,755.0,7.55,722.0,7.22,0.0,0.0,755.0,7.55,722.0,7.22,0.0,0.0
0,4,755.0,7.55,701.0,7.01,0.0,0.0,755.0,7.55,701.0,7.01,0.0,0.0
0,6,755.0,7.55,673.0,6.73,0.0,0.0,755.0,7.55,673.0,6.73,0.0,0.0
0,8,755.0,7.55,551.0,5.51,0.0,0.0,755.0,7.55,551.0,5.51,0.0,0.0
0.02,2,755.0,7.55,486.0,4.86,8.0,0.08,773.02,7.7302,722.0,7.22,18.02,0.1802
0.02,4,755.62,7.5562,314.0,3.14,0.62,0.0062,840.16,8.4016,701.0,7.01,85.16,0.8516
0.02,6,756.96,7.5696,263.0,2.63,1.96,0.0196,862.3,8.623,673.0,6.73,107.3,1.073
0.02,8,759.6,7.596,252.0,2.52,4.6,0.046,835.62,8.3562,551.0,5.51,80.62,0.8062
0.04,2,755.08,7.5508,463.0,4.63,12.08,0.1208,791.04,7.9104,722.0,7.22,36.04,0.3604
0.04,4,756.24,7.5624,302.0,3.02,1.24,0.0124,925.32,9.2532,701.0,7.01,170.32,1.7032
0.04,6,758.96,7.5896,255.0,2.55,3.96,0.0396,969.6,9.696,673.0,6.73,214.6,2.146
0.04,8,764.04,7.6404,255.0,2.55,9.04,0.0904,916.24,9.1624,551.0,5.51,161.24,1.6124
0.06,2,755.0,7.55,474.0,4.74,0.0,0.0,809.06,8.0906,722.0,7.22,54.06,0.5406
0.06,4,756.92,7.5692,303.0,3.03,1.92,0.0192,1010.48,10.1048,701.0,7.01,255.48,2.5548
0.06,6,760.98,7.6098,253.0,2.53,7.98,0.0798,1076.9,10.769,673.0,6.73,321.9,3.219
0.06,8,768.3,7.683,245.0,2.45,11.3,0.113,996.86,9.9686,551.0,5.51,241.86,2.4186
0.08,2,755.0,7.55,418.0,4.18,0.0,0.0,827.08,8.2708,722.0,7.22,72.08,0.7208
0.08,4,757.48,7.5748,311.0,3.11,2.48,0.0248,1095.64,10.9564,701.0,7.01,340.64,3.4064
0.08,6,762.28,7.6228,254.0,2.54,5.28,0.0528,1184.2,11.842,673.0,6.73,429.2,4.292
0.08,8,772.0,7.72,252.0,2.52,14.0,0.14,1077.48,10.7748,551.0,5.51,322.48,3.2248
0.1,2,755.1,7.551,465.00001,4.65,46.1,0.461,845.1,8.451,722.0,7.22,90.1,0.901
0.1,4,757.9,7.579,311.0,3.11,5.9,0.059,1180.8,11.808,701.0,7.01,425.8,4.258
0.1,6,763.5,7.635,260.0,2.6,4.5,0.045,1291.5,12.915,673.0,6.73,536.5,5.365
0.1,8,775.6,7.756,254.0,2.54,16.6,0.166,1158.1,11.581,551.0,5.51,403.1,4.031
