epsilon,chi,obj,pos,undercover,undercover_norm,cons,cons_norm,perf,perf_norm
0.1001,3,915.715,0,915.71,9.157,404.0,4.04,12.71,0.127
0.1001,3,896.0,0,1149.453,11.495,728.0,7.28,253.453,2.535
