epsilon,chi,obj,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n
0.05,3,906.4,906.4,9.064,416.0,4.16,8.4,0.084,903.8,9.038,416.0,4.16,7.8000000000000025,0.07800000000000003
0.05,5,921.9,921.9,9.219,365.0,3.65,25.9,0.259,920.5,9.205,365.0,3.65,24.500000000000018,0.2450000000000002
0.05,7,936.05,936.05,9.361,360.000000020872,3.60000000020872,38.05,0.38049999999999995,926.7,9.267,360.000000020872,3.60000000020872,30.699999991602073,0.3069999999160207
